,Ciudad,Pais,PM25,PM10,O3,NO2,CO,Fecha
193,Berlin,Germany,,49.0,21.0,30.0,,2018-02-21
194,Berlin,Germany,,39.0,23.0,30.0,,2018-02-22
195,Berlin,Germany,,32.0,24.0,22.0,,2018-02-23
196,Berlin,Germany,,36.0,29.0,19.0,,2018-02-24
197,Berlin,Germany,,22.0,28.0,18.0,,2018-02-25
198,Berlin,Germany,,19.0,26.0,22.0,,2018-02-26
199,Berlin,Germany,,27.0,25.0,32.0,,2018-02-27
200,Berlin,Germany,,36.0,26.0,24.0,,2018-02-28
201,Berlin,Germany,,44.0,24.0,24.0,,2018-03-01
202,Berlin,Germany,,39.0,24.0,25.0,,2018-03-02
203,Berlin,Germany,,54.0,27.0,27.0,,2018-03-03
204,Berlin,Germany,,54.0,30.0,27.0,,2018-03-04
205,Berlin,Germany,,58.0,19.0,43.0,,2018-03-05
206,Berlin,Germany,,64.0,22.0,39.0,,2018-03-06
207,Berlin,Germany,,62.0,16.0,39.0,,2018-03-07
208,Berlin,Germany,,53.0,18.0,36.0,,2018-03-08
209,Berlin,Germany,,77.0,22.0,33.0,,2018-03-09
210,Berlin,Germany,,43.0,6.0,35.0,,2018-03-10
211,Berlin,Germany,,38.0,24.0,31.0,,2018-03-11
212,Berlin,Germany,,31.0,16.0,37.0,,2018-03-12
213,Berlin,Germany,,42.0,18.0,24.0,,2018-03-13
214,Berlin,Germany,,34.0,15.0,24.0,,2018-03-14
215,Berlin,Germany,,26.0,22.0,22.0,,2018-03-15
216,Berlin,Germany,,32.0,25.0,15.0,,2018-03-16
217,Berlin,Germany,,28.0,29.0,11.0,,2018-03-17
218,Berlin,Germany,,25.0,32.0,12.0,,2018-03-18
219,Berlin,Germany,,23.0,31.0,26.0,,2018-03-19
220,Berlin,Germany,,29.0,23.0,36.0,,2018-03-20
221,Berlin,Germany,,31.0,23.0,36.0,,2018-03-21
222,Berlin,Germany,,27.0,17.0,29.0,,2018-03-22
223,Berlin,Germany,,33.0,18.0,32.0,,2018-03-23
224,Berlin,Germany,,27.0,22.0,30.0,,2018-03-24
225,Berlin,Germany,,35.0,34.0,33.0,,2018-03-25
226,Berlin,Germany,,49.0,23.0,38.0,,2018-03-26
227,Berlin,Germany,,44.0,26.0,32.0,,2018-03-27
228,Berlin,Germany,,28.0,20.0,28.0,,2018-03-28
229,Berlin,Germany,,38.0,24.0,28.0,,2018-03-29
230,Berlin,Germany,,27.0,32.0,24.0,,2018-03-30
231,Berlin,Germany,,28.0,25.0,22.0,,2018-03-31
232,Berlin,Germany,,33.0,24.0,15.0,,2018-04-01
233,Berlin,Germany,,13.0,36.0,20.0,,2018-04-02
234,Berlin,Germany,,39.0,21.0,34.0,,2018-04-03
235,Berlin,Germany,,33.0,34.0,36.0,,2018-04-04
236,Berlin,Germany,,37.0,29.0,25.0,,2018-04-05
237,Berlin,Germany,,19.0,28.0,29.0,,2018-04-06
238,Berlin,Germany,,22.0,31.0,27.0,,2018-04-07
239,Berlin,Germany,,28.0,39.0,22.0,,2018-04-08
240,Berlin,Germany,,30.0,41.0,46.0,,2018-04-09
241,Berlin,Germany,,48.0,42.0,32.0,,2018-04-10
242,Berlin,Germany,,47.0,29.0,18.0,,2018-04-11
243,Berlin,Germany,,48.0,36.0,23.0,,2018-04-12
244,Berlin,Germany,,50.0,29.0,28.0,,2018-04-13
245,Berlin,Germany,,47.0,28.0,24.0,,2018-04-14
246,Berlin,Germany,,35.0,24.0,28.0,,2018-04-15
247,Berlin,Germany,,38.0,18.0,31.0,,2018-04-16
248,Berlin,Germany,,38.0,35.0,34.0,,2018-04-17
249,Berlin,Germany,,37.0,42.0,46.0,,2018-04-18
250,Berlin,Germany,,45.0,39.0,42.0,,2018-04-19
251,Berlin,Germany,,45.0,41.0,43.0,,2018-04-20
252,Berlin,Germany,,37.0,39.0,27.0,,2018-04-21
253,Berlin,Germany,,35.0,43.0,26.0,,2018-04-22
254,Berlin,Germany,,28.0,38.0,31.0,,2018-04-23
255,Berlin,Germany,,36.0,25.0,28.0,,2018-04-24
256,Berlin,Germany,,31.0,29.0,24.0,,2018-04-25
257,Berlin,Germany,,29.0,24.0,31.0,,2018-04-26
258,Berlin,Germany,,17.0,33.0,33.0,,2018-04-27
259,Berlin,Germany,,24.0,40.0,29.0,,2018-04-28
260,Berlin,Germany,,30.0,43.0,25.0,,2018-04-29
261,Berlin,Germany,,29.0,36.0,26.0,,2018-04-30
262,Berlin,Germany,,36.0,34.0,15.0,,2018-05-01
263,Berlin,Germany,,19.0,27.0,34.0,,2018-05-02
264,Berlin,Germany,,31.0,37.0,26.0,,2018-05-03
265,Berlin,Germany,,31.0,40.0,26.0,,2018-05-04
266,Berlin,Germany,,20.0,40.0,18.0,,2018-05-05
267,Berlin,Germany,,17.0,38.0,16.0,,2018-05-06
268,Berlin,Germany,,18.0,39.0,37.0,,2018-05-07
269,Berlin,Germany,,29.0,43.0,32.0,,2018-05-08
270,Berlin,Germany,,39.0,42.0,34.0,,2018-05-09
271,Berlin,Germany,,45.0,37.0,21.0,,2018-05-10
272,Berlin,Germany,,36.0,24.0,23.0,,2018-05-11
273,Berlin,Germany,,36.0,6.0,23.0,,2018-05-12
274,Berlin,Germany,,32.0,,19.0,,2018-05-13
275,Berlin,Germany,,32.0,44.0,24.0,,2018-05-14
276,Berlin,Germany,,42.0,40.0,27.0,,2018-05-15
277,Berlin,Germany,,38.0,41.0,20.0,,2018-05-16
278,Berlin,Germany,,32.0,32.0,26.0,,2018-05-17
279,Berlin,Germany,,38.0,22.0,25.0,,2018-05-18
280,Berlin,Germany,,31.0,35.0,18.0,,2018-05-19
281,Berlin,Germany,,31.0,38.0,16.0,,2018-05-20
282,Berlin,Germany,,19.0,45.0,18.0,,2018-05-21
283,Berlin,Germany,,23.0,47.0,30.0,,2018-05-22
284,Paris,France,45.0,20.0,27.0,21.0,2.0,2018-01-01
285,Paris,France,30.0,25.0,24.0,27.0,3.0,2018-01-02
286,Paris,France,47.0,25.0,28.0,20.0,2.0,2018-01-03
287,Paris,France,38.0,20.0,22.0,32.0,2.0,2018-01-04
288,Paris,France,37.0,26.0,26.0,38.0,8.0,2018-01-05
289,Paris,France,46.0,34.0,18.0,41.0,5.0,2018-01-06
290,Paris,France,77.0,31.0,9.0,24.0,3.0,2018-01-07
291,Paris,France,78.0,36.0,7.0,29.0,5.0,2018-01-08
292,Paris,France,73.0,40.0,4.0,31.0,6.0,2018-01-09
293,Paris,France,83.0,34.0,15.0,39.0,6.0,2018-01-10
294,Paris,France,60.0,40.0,12.0,39.0,6.0,2018-01-11
295,Paris,France,75.0,48.0,8.0,38.0,6.0,2018-01-12
296,Paris,France,96.0,43.0,9.0,33.0,5.0,2018-01-13
297,Paris,France,100.0,50.0,6.0,40.0,6.0,2018-01-14
298,Paris,France,105.0,23.0,20.0,31.0,4.0,2018-01-15
299,Paris,France,49.0,21.0,26.0,37.0,3.0,2018-01-16
300,Paris,France,40.0,24.0,30.0,35.0,3.0,2018-01-17
301,Paris,France,40.0,21.0,25.0,36.0,4.0,2018-01-18
302,Paris,France,44.0,22.0,24.0,49.0,5.0,2018-01-19
303,Paris,France,45.0,17.0,20.0,38.0,3.0,2018-01-20
304,Paris,France,46.0,20.0,21.0,38.0,4.0,2018-01-21
305,Paris,France,56.0,23.0,20.0,37.0,4.0,2018-01-22
306,Paris,France,43.0,28.0,23.0,40.0,4.0,2018-01-23
307,Paris,France,50.0,20.0,19.0,26.0,3.0,2018-01-24
308,Paris,France,31.0,22.0,24.0,44.0,5.0,2018-01-25
309,Paris,France,46.0,37.0,18.0,46.0,7.0,2018-01-26
310,Paris,France,60.0,38.0,11.0,38.0,4.0,2018-01-27
311,Paris,France,78.0,21.0,14.0,25.0,3.0,2018-01-28
312,Paris,France,51.0,19.0,18.0,27.0,3.0,2018-01-29
313,Paris,France,28.0,29.0,20.0,33.0,5.0,2018-01-30
314,Paris,France,41.0,17.0,23.0,34.0,3.0,2018-01-31
315,Paris,France,37.0,26.0,25.0,45.0,4.0,2018-02-01
316,Paris,France,47.0,37.0,17.0,43.0,5.0,2018-02-02
317,Paris,France,55.0,31.0,12.0,45.0,5.0,2018-02-03
318,Paris,France,68.0,25.0,16.0,35.0,4.0,2018-02-04
319,Paris,France,58.0,35.0,10.0,36.0,4.0,2018-02-05
320,Paris,France,77.0,36.0,6.0,37.0,4.0,2018-02-06
321,Paris,France,87.0,44.0,11.0,37.0,3.0,2018-02-07
322,Paris,France,104.0,53.0,6.0,59.0,6.0,2018-02-08
323,Paris,France,130.0,52.0,11.0,46.0,6.0,2018-02-09
324,Paris,France,116.0,32.0,22.0,49.0,4.0,2018-02-10
325,Paris,France,65.0,23.0,26.0,40.0,4.0,2018-02-11
326,Paris,France,47.0,35.0,24.0,54.0,5.0,2018-02-12
327,Paris,France,52.0,36.0,17.0,44.0,5.0,2018-02-13
328,Paris,France,53.0,30.0,14.0,39.0,6.0,2018-02-14
329,Paris,France,57.0,30.0,17.0,49.0,7.0,2018-02-15
330,Paris,France,56.0,49.0,20.0,61.0,6.0,2018-02-16
331,Paris,France,73.0,49.0,17.0,52.0,5.0,2018-02-17
332,Paris,France,76.0,50.0,16.0,41.0,6.0,2018-02-18
333,Paris,France,100.0,38.0,7.0,36.0,5.0,2018-02-19
334,Paris,France,81.0,38.0,16.0,45.0,4.0,2018-02-20
335,Paris,France,72.0,70.0,14.0,43.0,5.0,2018-02-21
336,Paris,France,144.0,65.0,19.0,44.0,4.0,2018-02-22
337,Paris,France,126.0,54.0,24.0,49.0,4.0,2018-02-23
338,Paris,France,83.0,48.0,24.0,48.0,4.0,2018-02-24
339,Paris,France,90.0,35.0,25.0,42.0,3.0,2018-02-25
340,Paris,France,67.0,46.0,24.0,44.0,4.0,2018-02-26
341,Paris,France,66.0,48.0,19.0,49.0,4.0,2018-02-27
342,Paris,France,84.0,82.0,23.0,48.0,3.0,2018-02-28
343,Paris,France,99.0,60.0,20.0,43.0,4.0,2018-03-01
344,Paris,France,107.0,51.0,18.0,54.0,6.0,2018-03-02
345,Paris,France,94.0,44.0,18.0,65.0,6.0,2018-03-03
346,Paris,France,71.0,26.0,17.0,57.0,6.0,2018-03-04
347,Paris,France,62.0,40.0,20.0,63.0,7.0,2018-03-05
348,Paris,France,61.0,37.0,26.0,55.0,5.0,2018-03-06
349,Paris,France,55.0,25.0,26.0,56.0,6.0,2018-03-07
350,Paris,France,50.0,30.0,23.0,51.0,4.0,2018-03-08
351,Paris,France,51.0,39.0,12.0,66.0,7.0,2018-03-09
352,Paris,France,79.0,35.0,19.0,55.0,6.0,2018-03-10
353,Paris,France,67.0,23.0,31.0,43.0,4.0,2018-03-11
354,Paris,France,45.0,26.0,28.0,41.0,3.0,2018-03-12
355,Paris,France,38.0,38.0,27.0,42.0,4.0,2018-03-13
