Ciudad,Pais,Casos,Muertes
Zurich,Switzerland,"3,592",124
Ticino,Switzerland,"3,287",269
Valais,Switzerland,"1,905",146
Canton of Bern,Switzerland,"1,874",90
Aargau,Switzerland,"1,194",36
Fribourg,Switzerland,"1,152",80
Basel City,Switzerland,976,50
Basel-Landschaft,Switzerland,838,32
Grisons,Switzerland,824,45
St. Gallen,Switzerland,807,33
Lucerne,Switzerland,733,18
Neuchatel,Switzerland,722,77
Solothurn,Switzerland,439,15
Thurgau,Switzerland,380,17
Schwyz,Switzerland,307,22
Jura,Switzerland,203,7
Canton of Zug,Switzerland,199,8
Glarus,Switzerland,128,12
Nidwalden,Switzerland,123,3
Appenzell Ausserrhoden,Switzerland,99,3
Uri,Switzerland,93,7
Obwalden,Switzerland,79,0
Schaffhausen,Switzerland,78,6
Appenzell Innerrhoden,Switzerland,25,—
Stockholm County,Sweden,"10,777",—
Vastra Gotaland County,Sweden,"4,530",—
Ostergotland County,Sweden,"1,802",—
Uppsala County,Sweden,"1,561",—
Orebro County,Sweden,"1,537",—
Sodermanland County,Sweden,"1,525",—
Skane County,Sweden,"1,344",—
Jonkoping County,Sweden,"1,216",—
Vastmanland County,Sweden,"1,064",—
Dalarna County,Sweden,"1,064",—
Gavleborg County,Sweden,"1,027",—
Kronoberg County,Sweden,665,—
Halland County,Sweden,587,—
Jamtland County,Sweden,544,—
Vasternorrland County,Sweden,494,—
Vasterbotten County,Sweden,437,—
Varmland County,Sweden,347,—
Norrbotten County,Sweden,343,—
Kalmar County,Sweden,264,—
Blekinge County,Sweden,109,—
Gotland County,Sweden,67,—
Capital Region of Denmark,Denmark,"6,360",—
Region Zealand,Denmark,"1,803",—
Central Denmark Region,Denmark,"1,585",—
Region of Southern Denmark,Denmark,984,—
North Denmark Region,Denmark,430,—
-,France,"144,921","28,367"
Santiago Metropolitan Region,Chile,"51,399",—
Valparaiso,Chile,"2,116",44
Antofagasta,Chile,"1,897",21
Araucania,Chile,"1,774",45
Tarapaca,Chile,"1,471",5
Bio Bio,Chile,"1,354",10
Nuble,Chile,"1,077",21
Magallanes and Chilean Antarctica,Chile,997,—
Maule,Chile,823,15
Los Lagos,Chile,727,13
"b""O'Higgins""",Chile,518,11
Arica y Parinacota,Chile,482,7
Coquimbo,Chile,294,2
Los Rios,Chile,274,6
Atacama,Chile,182,0
Aysen,Chile,8,0
