Ciudad,Pais,Casos,Muertes
Alborz Province,Iran,1177.0,
Markazi Province,Iran,882.0,
Razavi Khorasan Province,Iran,858.0,
East Azerbaijan Province,Iran,813.0,
Yazd Province,Iran,725.0,
Qazvin Province,Iran,669.0,
Semnan Province,Iran,645.0,
Fars Province,Iran,505.0,
Lorestan Province,Iran,476.0,
Khuzestan Province,Iran,444.0,
West Azerbaijan Province,Iran,395.0,
Zanjan Province,Iran,394.0,
Golestan Province,Iran,391.0,
Ardabil Province,Iran,289.0,
Kermanshah Province,Iran,243.0,
Kurdistan Province,Iran,238.0,
Ilam Province,Iran,183.0,
South Khorasan Province,Iran,178.0,
Hamadan Province,Iran,175.0,
Kerman Province,Iran,169.0,
North Khorasan Province,Iran,165.0,
Hormozgan Province,Iran,148.0,
Sistan and Baluchestan Province,Iran,134.0,
Kohgiluyeh and Boyer-Ahmad Province,Iran,73.0,
Chaharmahal and Bakhtiari Province,Iran,68.0,
Bushehr Province,Iran,55.0,
Flanders,Belgium,30178.0,
Wallonia,Belgium,17366.0,
Brussels,Belgium,5507.0,
Vaud,Switzerland,5425.0,389.0
Geneva,Switzerland,5123.0,259.0
Zurich,Switzerland,3592.0,124.0
Ticino,Switzerland,3287.0,269.0
Valais,Switzerland,1905.0,146.0
Canton of Bern,Switzerland,1874.0,90.0
Aargau,Switzerland,1194.0,36.0
Fribourg,Switzerland,1152.0,80.0
Basel City,Switzerland,976.0,50.0
Basel-Landschaft,Switzerland,838.0,32.0
Grisons,Switzerland,824.0,45.0
St. Gallen,Switzerland,807.0,33.0
Lucerne,Switzerland,733.0,18.0
Neuchatel,Switzerland,722.0,77.0
Solothurn,Switzerland,439.0,15.0
Thurgau,Switzerland,380.0,17.0
Schwyz,Switzerland,307.0,22.0
Jura,Switzerland,203.0,7.0
Canton of Zug,Switzerland,199.0,8.0
Glarus,Switzerland,128.0,12.0
Nidwalden,Switzerland,123.0,3.0
Appenzell Ausserrhoden,Switzerland,99.0,3.0
Uri,Switzerland,93.0,7.0
Obwalden,Switzerland,79.0,0.0
Schaffhausen,Switzerland,78.0,6.0
Appenzell Innerrhoden,Switzerland,25.0,
Stockholm County,Sweden,10777.0,
Vastra Gotaland County,Sweden,4530.0,
Ostergotland County,Sweden,1802.0,
Uppsala County,Sweden,1561.0,
Orebro County,Sweden,1537.0,
Sodermanland County,Sweden,1525.0,
Skane County,Sweden,1344.0,
Jonkoping County,Sweden,1216.0,
Vastmanland County,Sweden,1064.0,
Dalarna County,Sweden,1064.0,
Gavleborg County,Sweden,1027.0,
Kronoberg County,Sweden,665.0,
Halland County,Sweden,587.0,
Jamtland County,Sweden,544.0,
Vasternorrland County,Sweden,494.0,
Vasterbotten County,Sweden,437.0,
Varmland County,Sweden,347.0,
Norrbotten County,Sweden,343.0,
Kalmar County,Sweden,264.0,
Blekinge County,Sweden,109.0,
Gotland County,Sweden,67.0,
Capital Region of Denmark,Denmark,6360.0,
Region Zealand,Denmark,1803.0,
Central Denmark Region,Denmark,1585.0,
Region of Southern Denmark,Denmark,984.0,
North Denmark Region,Denmark,430.0,
,France,144921.0,28367.0
Santiago Metropolitan Region,Chile,51399.0,
Valparaiso,Chile,2116.0,44.0
Antofagasta,Chile,1897.0,21.0
Araucania,Chile,1774.0,45.0
Tarapaca,Chile,1471.0,5.0
Bio Bio,Chile,1354.0,10.0
Nuble,Chile,1077.0,21.0
Magallanes and Chilean Antarctica,Chile,997.0,
Maule,Chile,823.0,15.0
Los Lagos,Chile,727.0,13.0
"b""O'Higgins""",Chile,518.0,11.0
Arica y Parinacota,Chile,482.0,7.0
Coquimbo,Chile,294.0,2.0
Los Rios,Chile,274.0,6.0
Atacama,Chile,182.0,0.0
Aysen,Chile,8.0,0.0
